,Sentence,Name,Disease,SSNs,Dates,Address,City,Zipcode,Url,Account,Medical Record,Contact,Email,Passport,IP Address
0,"Mr Steve Beahan has  stomach ache . Patient SSN 789-21-8631 . He came on 1971/10/8 . Patient home address is  188 Baumbach Arcade Apt 78 Lunenburg , 1119 .
we gave him http://soundcloud.com/decksharks-records/daniel-dittrich-sommer-pinch . Patient account number 6188776513 . Medical record Id MR7637312 . Patient 048-0795635 Email is KeenanHoeger@mail2wine.com
Patient Id 4982800 . Here is the IP 83.138.50.0",Steve Beahan,stomach ache,789-21-8631,1971/10/8,188 Baumbach Arcade Apt 78,Lunenburg,1119,http://soundcloud.com/decksharks-records/daniel-dittrich-sommer-pinch,6188776513,MR7637312,048-0795635,KeenanHoeger@mail2wine.com,4982800,83.138.50.0
1,"Mr Jenell Deckow is suffering from cancer . Patient SSN 81178409 . He arrived on 16.1.2023 . Patient is from 189 Jerde Mews Unit 75 North Brookfield , 2139 .
Advised him to reach http://tweetphoto.com/31204893 . Patient account number 4087981266 . Medical record Id ID7699751 . Patient 06-894 382 Email is GoldenPollich@netposta.net
Patient Id U3123225 . IP address 163.47.19.0",Jenell Deckow,cancer,81178409,16.1.2023,189 Jerde Mews Unit 75,North Brookfield,2139,http://tweetphoto.com/31204893,4087981266,ID7699751,06-894 382,GoldenPollich@netposta.net,U3123225,163.47.19.0
2,"Mrs Drew Hegmann is suffering from heart attack . Her SSN 742-65-1447 . She contacted on 12/7/1972 . Patient is from 208 Stehr Port Peabody , 2122 .
Advised her to reach http://www.youtube.com/v/6P4IxZtR_mo&hl=en_US&fs=1&""></param><param . Patient account number is  7951466186 . Medical record Id CA9235785 . Her 061854 0462487 Email is TanekaLeuschke@mail2eddie.com
Patient Id 582126483 . IP address 192.152.44.0",Drew Hegmann,heart attack,742-65-1447,12/7/1972,208 Stehr Port,Peabody,2122,"http://www.youtube.com/v/6P4IxZtR_mo&hl=en_US&fs=1&""></param><param",7951466186,CA9235785,061854 0462487,TanekaLeuschke@mail2eddie.com,582126483,192.152.44.0
3,"Mrs Cecila Feil is suffering from heart attack . Her SSN 612-43-5824 . She contacted on 1934-7-4 . Patient is from 105 Hodkiewicz Port Westport , 2721 .
Advised her to reach Http://darklovelyscarlet.tumblr.com/post/774612372/princesspolysemy-dailyporno-via-m-n-mj . Patient account number is  7805867528 . Medical record Id ID4678604 . Her 086703560-89 Email is ScottySpencer@buyersusa.com
Patient Id R734415 . IP address 91.234.233.0",Cecila Feil,heart attack,612-43-5824,1934-7-4,105 Hodkiewicz Port,Westport,2721,Http://darklovelyscarlet.tumblr.com/post/774612372/princesspolysemy-dailyporno-via-m-n-mj,7805867528,ID4678604,086703560-89,ScottySpencer@buyersusa.com,R734415,91.234.233.0
4,"Mr Cheryll Mann is suffering from heart attack . Patient SSN 780 46 6236 . He arrived on 14/8/1949 . Patient is from 788 Connelly Highlands Billerica , 2186 .
Advised him to reach http://tweetphoto.com/30980625 . Patient account number 1897684089 . Medical record Id CA1420545 . Patient 0326 92 3042 Email is SandaRogahn@honduras.com
Patient Id 2383854 . IP address 152.100.0.0",Cheryll Mann,heart attack,780 46 6236,14/8/1949,788 Connelly Highlands,Billerica,2186,http://tweetphoto.com/30980625,1897684089,CA1420545,0326 92 3042,SandaRogahn@honduras.com,2383854,152.100.0.0
5,"Mr Izola Ebert is suffering from cancer . Patient SSN 663-30-8781 . He arrived on 12/7/1972 . Patient is from 712 Schuppe Ramp Unit 0 West Tisbury , 1604 .
Advised him to reach http://imgur.com/M2v2H.png . Patient account number 0324390751 . Medical record Id MR0518554 . Patient 026 439 25 29 Email is JoMcCullough@mail2kiss.com
Patient Id K542760 . IP address 15.0.0.0",Izola Ebert,cancer,663-30-8781,12/7/1972,712 Schuppe Ramp Unit 0,West Tisbury,1604,http://imgur.com/M2v2H.png,0324390751,MR0518554,026 439 25 29,JoMcCullough@mail2kiss.com,K542760,15.0.0.0
6,"Mr Theo Kuvalis is suffering from Diarrhea . Patient SSN 324-54-6785 . He arrived on 24/10/1933 . Patient is from 1079 Smith Well Unit 3 North Andover , 2461 .
Advised him to reach http://www.youtube.com/watch?v=Lg-wRQdrSqo . Patient account number 7475846769 . Medical record Id MR2751778 . Patient 00594-83-34 93 Email is ChiJohnston@ksanmail.com
Patient Id CPQ007097 . IP address 202.42.161.0",Theo Kuvalis,Diarrhea,324-54-6785,24/10/1933,1079 Smith Well Unit 3,North Andover,2461,http://www.youtube.com/watch?v=Lg-wRQdrSqo,7475846769,MR2751778,00594-83-34 93,ChiJohnston@ksanmail.com,CPQ007097,202.42.161.0
7,"Mr Malia Kuhic is suffering from cancer . Patient SSN 164 69 4009 . He arrived on 5.7.1975 . Patient is from 903 Spencer Gate Suite 97 Medford , 2114 .
Advised him to reach http://imgur.com/D04t4.jpg . Patient account number 8726909477 . Medical record Id MR2082011 . Patient 0089-57289-0 Email is MinhCummerata@icqmail.com
Patient Id I626426 . IP address 152.89.12.0",Malia Kuhic,cancer,164 69 4009,5.7.1975,903 Spencer Gate Suite 97,Medford,2114,http://imgur.com/D04t4.jpg,8726909477,MR2082011,0089-57289-0,MinhCummerata@icqmail.com,I626426,152.89.12.0
8,"Mr Cythia Reichel has  fever . Patient SSN 810-78-3542 . He came on 28.4.1998. . Patient home address is  606 O'Keefe Haven Newton , 1748 .
we gave him http://www.amazon.com/gp/product/B002DKIMZ0/ref=s9_simh_gw_p241_i3?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=center-2&pf_rd_r=10E8QEB28AMEHS40H4J4&pf_rd_t=101&pf_rd_p=470938631&pf_rd_i=507846 . Patient account number 2983408498 . Medical record Id ID5969841 . Patient 08279306 87-7 Email is DewittFeest@beenhad.com
Patient Id 9997512 . Here is the IP 185.130.188.0",Cythia Reichel,fever,810-78-3542,28.4.1998.,606 O'Keefe Haven,Newton,1748,http://www.amazon.com/gp/product/B002DKIMZ0/ref=s9_simh_gw_p241_i3?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=center-2&pf_rd_r=10E8QEB28AMEHS40H4J4&pf_rd_t=101&pf_rd_p=470938631&pf_rd_i=507846,2983408498,ID5969841,08279306 87-7,DewittFeest@beenhad.com,9997512,185.130.188.0
9,"Mrs Bobby Robel is suffering from headache . Her SSN 606703447 . She contacted on 10.9.2015 . Patient is from 860 Friesen Hollow Lowell , 2126 .
Advised her to reach http://vimeo.com/6208343 . Patient account number is  3229607681 . Medical record Id MR2184313 . Her 0233050 4 Email is LindsyCummings@agoodmail.com
Patient Id M87464847 . IP address 45.87.88.0",Bobby Robel,headache,606703447,10.9.2015,860 Friesen Hollow,Lowell,2126,http://vimeo.com/6208343,3229607681,MR2184313,0233050 4,LindsyCummings@agoodmail.com,M87464847,45.87.88.0
10,"Mr Ana Avilés has  Diarrhea . Patient SSN 324-54-6785 . He came on 9/1/2023 . Patient home address is  843 Nader Run Apt 38 Northbridge , 2630 .
we gave him http://www.flickr.com/photos/jocke66/4757366952/ . Patient account number 2350761454 . Medical record Id DS5102915 . Patient 0550682 06 Email is NapoleonRice@imposter.co.uk
Patient Id D9297131 . Here is the IP 43.250.244.0",Ana Avilés,Diarrhea,324-54-6785,9/1/2023,843 Nader Run Apt 38,Northbridge,2630,http://www.flickr.com/photos/jocke66/4757366952/,2350761454,DS5102915,0550682 06,NapoleonRice@imposter.co.uk,D9297131,43.250.244.0
11,"Mrs Drew Lind is suffering from stomach ache . Her SSN 558 51 2014 . She contacted on 16.1.2023 . Patient is from 430 Roberts Dale Fall River , 1583 .
Advised her to reach http://imgur.com/BPN9B . Patient account number is  9430358625 . Medical record Id MR9691013 . Her 0648-038 4038 Email is VicenteTrantow@mail2massachusetts.com
Patient Id D2DP80543 . IP address 83.173.128.0",Drew Lind,stomach ache,558 51 2014,16.1.2023,430 Roberts Dale,Fall River,1583,http://imgur.com/BPN9B,9430358625,MR9691013,0648-038 4038,VicenteTrantow@mail2massachusetts.com,D2DP80543,83.173.128.0
12,"Mr Francisco Burgos has  headache . Patient SSN 220-76-7515 . He came on 24/10/1933 . Patient home address is  208 Stehr Port Burlington , 1545 .
we gave him http://soundcloud.com/friedercore/01-friedercore-keincore-flash . Patient account number 2377330878 . Medical record Id ID5630723 . Patient 010784-50 5-0 Email is WillaPaucek@chaiyomail.com
Patient Id 001825414 . Here is the IP 45.128.48.0",Francisco Burgos,headache,220-76-7515,24/10/1933,208 Stehr Port,Burlington,1545,http://soundcloud.com/friedercore/01-friedercore-keincore-flash,2377330878,ID5630723,010784-50 5-0,WillaPaucek@chaiyomail.com,001825414,45.128.48.0
